"","subject","item","category","RT","Pos","experiment"
"112","201","ente","Vögel",1125,4,"typing"
"113","201","hocker","Sitzen",1301,4,"typing"
"114","201","tempel","Gebäude",1448,5,"typing"
"115","201","taube","Vögel",1603,5,"typing"
"116","201","bank","Sitzen",1181,5,"typing"
"117","202","pelzmantel","Jacken",1080,1,"typing"
"118","202","paprika","Gemüse",915,1,"typing"
"119","202","schaufel","Bauernhof",783,1,"typing"
"120","202","sakko","Jacken",1870,2,"typing"
"121","202","kartoffel","Gemüse",938,2,"typing"
"122","202","besen","Bauernhof",857,2,"typing"
"123","202","kapuzenpulli","Jacken",1227,3,"typing"
"124","202","säge","Bauernhof",881,3,"typing"
"125","202","karotte","Gemüse",772,3,"typing"
"126","202","daunenweste","Jacken",963,4,"typing"
"127","202","brokkoli","Gemüse",915,4,"typing"
"128","202","sense","Bauernhof",752,5,"typing"
"129","202","arztkittel","Jacken",1846,5,"typing"
"130","202","gurke","Gemüse",967,5,"typing"
"131","202","geige","Instrumente",1095,1,"typing"
"132","202","orchidee","Blumen",1606,1,"typing"
"133","202","kuh","Huftiere",746,1,"typing"
"134","202","gitarre","Instrumente",1103,2,"typing"
"135","202","löwenzahn","Blumen",1013,2,"typing"
"136","202","pferd","Huftiere",1126,2,"typing"
"137","202","harfe","Instrumente",991,3,"typing"
"138","202","tulpe","Blumen",941,3,"typing"
"139","202","kamel","Huftiere",818,3,"typing"
"140","202","sonnenblume","Blumen",1345,4,"typing"
"141","202","klavier","Instrumente",650,4,"typing"
"142","202","schaf","Huftiere",951,4,"typing"
"143","202","schlagzeug","Instrumente",902,5,"typing"
"144","202","rose","Blumen",1070,5,"typing"
"145","202","reh","Huftiere",1029,5,"typing"
"146","202","kette","Schmuck",1309,1,"typing"
"147","202","messer","Kochen",840,1,"typing"
"148","202","leopard","Raubtiere",1724,1,"typing"
"149","202","kelle","Kochen",1083,2,"typing"
"150","202","ring","Schmuck",1156,3,"typing"
"151","202","löffel","Kochen",691,3,"typing"
"152","202","bär","Raubtiere",934,2,"typing"
"153","202","brosche","Schmuck",3248,4,"typing"
"154","202","schneebesen","Kochen",1578,4,"typing"
"155","202","tiger","Raubtiere",1216,3,"typing"
"156","202","panther","Raubtiere",951,4,"typing"
"157","202","ohrring","Schmuck",1264,5,"typing"
"158","202","löwe","Raubtiere",718,5,"typing"
"159","202","gabel","Kochen",930,5,"typing"
"160","202","auto","Strasse",728,1,"typing"
"161","202","regal","Aufbewahrung",825,1,"typing"
"162","202","kutsche","Strasse",1091,2,"typing"
"163","202","hai","Fische",1013,1,"typing"
"164","202","lkw","Strasse",976,3,"typing"
"165","202","aal","Fische",795,2,"typing"
"166","202","schachtel","Aufbewahrung",2906,2,"typing"
"167","202","bus","Strasse",756,4,"typing"
"168","202","delfin","Fische",1130,3,"typing"
"169","202","schublade","Aufbewahrung",934,3,"typing"
"170","202","rochen","Fische",978,4,"typing"
"171","202","safe","Aufbewahrung",816,4,"typing"
"172","202","motorrad","Strasse",840,5,"typing"
"173","202","goldfisch","Fische",1047,5,"typing"
"174","202","kleiderschrank","Aufbewahrung",663,5,"typing"
"175","202","schere","Büro",841,1,"typing"
"176","202","kaffeemaschine","Küche",775,1,"typing"
"177","202","gondel","Wasser",1979,1,"typing"
"178","202","bleistift","Büro",852,2,"typing"
"179","202","herd","Küche",948,2,"typing"
"180","202","u-boot","Wasser",1055,2,"typing"
"181","202","geschirrspüler","Küche",1418,3,"typing"
"182","202","lineal","Büro",762,3,"typing"
"183","202","yacht","Wasser",2227,3,"typing"
"184","202","mikrowelle","Küche",1016,4,"typing"
"185","202","kanu","Wasser",988,4,"typing"
"186","202","klammer","Büro",1103,4,"typing"
"187","202","segelschiff","Wasser",1164,5,"typing"
"188","202","kühlschrank","Küche",1200,5,"typing"
"189","202","radiergummi","Büro",885,5,"typing"
"190","202","flasche","Trinkgefässe",932,1,"typing"
"191","202","birne","Obst",744,1,"typing"
"192","202","banane","Obst",804,2,"typing"
"193","202","marienkäfer","Insekten",1019,1,"typing"
"194","202","fliege","Insekten",716,2,"typing"
"195","202","apfel","Obst",688,3,"typing"
"196","202","biene","Insekten",1032,3,"typing"
"197","202","becher","Trinkgefässe",2642,3,"typing"
"198","202","kirsche","Obst",745,4,"typing"
"199","202","spinne","Insekten",1054,4,"typing"
"200","202","glas","Trinkgefässe",847,4,"typing"
"201","202","trauben","Obst",905,5,"typing"
"202","202","ameise","Insekten",907,5,"typing"
"203","202","tasse","Trinkgefässe",880,5,"typing"
"204","202","schokolade","Süssigkeiten",966,1,"typing"
"205","202","bein","Körperteile",812,1,"typing"
"206","202","bohrmaschine","Heimwerker",842,1,"typing"
"207","202","hand","Körperteile",799,2,"typing"
"208","202","feile","Heimwerker",936,2,"typing"
"209","202","eis","Süssigkeiten",979,2,"typing"
"210","202","zange","Heimwerker",954,3,"typing"
"211","202","kekse","Süssigkeiten",677,3,"typing"
"212","202","ohr","Körperteile",977,3,"typing"
"213","202","schraubenzieher","Heimwerker",902,4,"typing"
"214","202","fuss","Körperteile",862,4,"typing"
"215","202","hammer","Heimwerker",715,5,"typing"
"216","202","kuchen","Süssigkeiten",715,5,"typing"
"217","202","arm","Körperteile",762,5,"typing"
"218","202","bank","Sitzen",1110,1,"typing"
"219","202","ente","Vögel",1006,1,"typing"
"220","202","kirche","Gebäude",653,2,"typing"
"221","202","couch","Sitzen",909,2,"typing"
"222","202","strauss","Vögel",1229,2,"typing"
"223","202","tempel","Gebäude",1000,3,"typing"
"224","202","eule","Vögel",883,3,"typing"
"225","202","schloss","Gebäude",1233,4,"typing"
"226","202","taube","Vögel",1164,4,"typing"
"227","202","burg","Gebäude",956,5,"typing"
"228","202","schwan","Vögel",706,5,"typing"
"229","202","hocker","Sitzen",1262,5,"typing"
"230","204","säge","Bauernhof",939,1,"typing"
"231","204","sakko","Jacken",1360,2,"typing"
"232","204","kartoffel","Gemüse",1329,1,"typing"
"233","204","sense","Bauernhof",942,2,"typing"
"234","204","schaufel","Bauernhof",1512,3,"typing"
"235","204","brokkoli","Gemüse",910,2,"typing"
"236","204","besen","Bauernhof",1513,4,"typing"
"237","204","paprika","Gemüse",845,3,"typing"
"238","204","arztkittel","Jacken",2365,4,"typing"
"239","204","karotte","Gemüse",906,4,"typing"
"240","204","axt","Bauernhof",1265,5,"typing"
"241","204","gurke","Gemüse",2675,5,"typing"
"242","204","rochen","Fische",1842,1,"typing"
"243","204","schublade","Aufbewahrung",869,2,"typing"
"244","204","motorrad","Strasse",969,1,"typing"
"245","204","delfin","Fische",1394,2,"typing"
"246","204","lkw","Strasse",929,2,"typing"
"247","204","regal","Aufbewahrung",877,3,"typing"
"248","204","schachtel","Aufbewahrung",2143,4,"typing"
"249","204","kutsche","Strasse",1700,3,"typing"
"250","204","kleiderschrank","Aufbewahrung",1435,5,"typing"
"251","204","hai","Fische",1185,4,"typing"
"252","204","bus","Strasse",877,4,"typing"
"253","204","aal","Fische",900,5,"typing"
"254","204","auto","Strasse",816,5,"typing"
"255","204","ohr","Körperteile",945,1,"typing"
"256","204","kekse","Süssigkeiten",1086,1,"typing"
"257","204","feile","Heimwerker",1181,1,"typing"
"258","204","bein","Körperteile",1784,2,"typing"
"259","204","hammer","Heimwerker",1272,2,"typing"
"260","204","fuss","Körperteile",828,3,"typing"
"261","204","bonbon","Süssigkeiten",1442,3,"typing"
"262","204","zange","Heimwerker",1472,3,"typing"
"263","204","arm","Körperteile",814,4,"typing"
"264","204","kuchen","Süssigkeiten",1506,4,"typing"
"265","204","bohrmaschine","Heimwerker",1141,4,"typing"
"266","204","eis","Süssigkeiten",832,5,"typing"
"267","204","hand","Körperteile",970,5,"typing"
"268","204","schraubenzieher","Heimwerker",1964,5,"typing"
"269","204","ameise","Insekten",1102,1,"typing"
"270","204","glas","Trinkgefässe",1212,1,"typing"
"271","204","banane","Obst",699,1,"typing"
"272","204","marienkäfer","Insekten",1430,2,"typing"
"273","204","birne","Obst",823,2,"typing"
"274","204","kanne","Trinkgefässe",1344,2,"typing"
"275","204","biene","Insekten",975,3,"typing"
"276","204","spinne","Insekten",1219,4,"typing"
"277","204","apfel","Obst",802,4,"typing"
"278","204","becher","Trinkgefässe",985,4,"typing"
"279","204","fliege","Insekten",1544,5,"typing"
"280","204","kirsche","Obst",903,5,"typing"
"281","204","lineal","Büro",912,1,"typing"
"282","204","herd","Küche",1293,1,"typing"
"283","204","klammer","Büro",1360,2,"typing"
"284","204","geschirrspüler","Küche",1223,2,"typing"
"285","204","segelschiff","Wasser",1231,1,"typing"
"286","204","kühlschrank","Küche",2190,3,"typing"
"287","204","gondel","Wasser",2567,2,"typing"
"288","204","kaffeemaschine","Küche",1104,4,"typing"
"289","204","bleistift","Büro",870,3,"typing"
"290","204","mikrowelle","Küche",854,5,"typing"
"291","204","radiergummi","Büro",1379,4,"typing"
"292","204","kanu","Wasser",1838,4,"typing"
"293","204","schere","Büro",1830,5,"typing"
"294","204","u-boot","Wasser",1170,5,"typing"
"295","204","pferd","Huftiere",903,1,"typing"
"296","204","rose","Blumen",863,1,"typing"
"297","204","geige","Instrumente",4651,1,"typing"
"298","204","kamel","Huftiere",1195,2,"typing"
"299","204","schlagzeug","Instrumente",1304,2,"typing"
"300","204","schaf","Huftiere",792,3,"typing"
"301","204","harfe","Instrumente",1067,3,"typing"
"302","204","tulpe","Blumen",1132,3,"typing"
"303","204","kuh","Huftiere",1135,4,"typing"
"304","204","gitarre","Instrumente",1083,4,"typing"
"305","204","sonnenblume","Blumen",909,4,"typing"
"306","204","klavier","Instrumente",813,5,"typing"
"307","204","reh","Huftiere",2603,5,"typing"
"308","204","ring","Schmuck",884,1,"typing"
"309","204","schneebesen","Kochen",983,1,"typing"
"310","204","panther","Raubtiere",1016,1,"typing"
"311","204","kelle","Kochen",2891,2,"typing"
"312","204","bär","Raubtiere",980,2,"typing"
"313","204","gabel","Kochen",1516,3,"typing"
"314","204","leopard","Raubtiere",1522,3,"typing"
"315","204","tiger","Raubtiere",2032,4,"typing"
"316","204","ohrring","Schmuck",1408,3,"typing"
"317","204","kette","Schmuck",1299,4,"typing"
"318","204","messer","Kochen",883,5,"typing"
"319","204","armband","Schmuck",1845,5,"typing"
"320","204","strauss","Vögel",1516,1,"typing"
"321","204","stuhl","Sitzen",1012,1,"typing"
"322","204","hochhaus","Gebäude",999,1,"typing"
"323","204","sessel","Sitzen",947,2,"typing"
"324","204","tempel","Gebäude",3975,2,"typing"
"325","204","couch","Sitzen",1050,3,"typing"
"326","204","taube","Vögel",931,2,"typing"
"327","204","schloss","Gebäude",1148,3,"typing"
"328","204","ente","Vögel",1819,3,"typing"
"329","204","hocker","Sitzen",1121,4,"typing"
"330","204","bank","Sitzen",1058,5,"typing"
"331","204","kirche","Gebäude",1157,4,"typing"
"332","204","eule","Vögel",1106,5,"typing"
"333","204","burg","Gebäude",1134,5,"typing"
"334","205","rose","Blumen",1004,2,"typing"
"335","205","pferd","Huftiere",957,2,"typing"
"336","205","schlagzeug","Instrumente",844,2,"typing"
"337","205","kamel","Huftiere",1061,3,"typing"
"338","205","orchidee","Blumen",1390,3,"typing"
"339","205","geige","Instrumente",1077,3,"typing"
"340","205","schaf","Huftiere",935,4,"typing"
"341","205","tulpe","Blumen",1203,4,"typing"
"342","205","harfe","Instrumente",1820,4,"typing"
"343","205","kuh","Huftiere",1448,5,"typing"
"344","205","sonnenblume","Blumen",943,5,"typing"
"345","205","gitarre","Instrumente",1594,5,"typing"
"346","205","zange","Heimwerker",1343,1,"typing"
"347","205","bonbon","Süssigkeiten",1127,1,"typing"
"348","205","arm","Körperteile",815,1,"typing"
"349","205","kekse","Süssigkeiten",931,2,"typing"
"350","205","hand","Körperteile",895,2,"typing"
"351","205","kuchen","Süssigkeiten",918,3,"typing"
"352","205","feile","Heimwerker",1497,4,"typing"
"353","205","fuss","Körperteile",992,3,"typing"
"354","205","hammer","Heimwerker",983,5,"typing"
"355","205","ohr","Körperteile",884,4,"typing"
