"","subject","session","trial","age","SD30","SD32","SD31","timetotal","array","item","category","supercategory","VOT","correct","AR","error"
"54",1,1,54,50,"NA","NA","NA",24.7333333333333,1,"tulpe","Blumen","Misc II","668","1","NA","NA"
"55",1,1,55,50,"NA","NA","NA",24.7333333333333,1,"puppe","Filler","Filler","549","1","NA","NA"
"56",1,1,56,50,"NA","NA","NA",24.7333333333333,1,"schlagzeug","Instrumente","Misc I","691","0","agzeug [f.r.]","99"
"57",1,1,57,50,"NA","NA","NA",24.7333333333333,1,"löwenzahn","Blumen","Misc II","1314","1","NA","NA"
"58",1,1,58,50,"NA","NA","NA",24.7333333333333,1,"schaf","Huftiere","Tiere","454","1","NA","NA"
"59",1,1,59,50,"NA","NA","NA",24.7333333333333,1,"klavier","Instrumente","Misc I","461","1","NA","NA"
"60",1,1,60,50,"NA","NA","NA",24.7333333333333,1,"orchidee","Blumen","Misc II","583","1","NA","NA"
"61",1,1,61,50,"NA","NA","NA",24.7333333333333,1,"mikrowelle","Küche","Möbel","956","1","NA","NA"
"62",1,1,62,50,"NA","NA","NA",24.7333333333333,1,"segelschiff","Wasser","Fortbewegungsmittel","1384","1.1","Segelboot","NA"
"63",1,1,63,50,"NA","NA","NA",24.7333333333333,1,"mikrofon","Filler","Filler","647","1","NA","NA"
"64",1,1,64,50,"NA","NA","NA",24.7333333333333,1,"bleistift","Büro","Werkzeug","862","1","NA","NA"
"65",1,1,65,50,"NA","NA","NA",24.7333333333333,1,"u-boot","Wasser","Fortbewegungsmittel","1162","1","NA","NA"
"66",1,1,66,50,"NA","NA","NA",24.7333333333333,1,"brille","Filler","Filler","498","1","NA","NA"
"67",1,1,67,50,"NA","NA","NA",24.7333333333333,1,"radiergummi","Büro","Werkzeug","457","1","NA","NA"
"68",1,1,68,50,"NA","NA","NA",24.7333333333333,1,"kanu","Wasser","Fortbewegungsmittel","1523","1.1","Boot","NA"
"69",1,1,69,50,"NA","NA","NA",24.7333333333333,1,"geschirrspüler","Küche","Möbel","0","0","NR","4"
"70",1,1,70,50,"NA","NA","NA",24.7333333333333,1,"schornstein","Filler","Filler","0","0","NR","4"
"71",1,1,71,50,"NA","NA","NA",24.7333333333333,1,"lineal","Büro","Werkzeug","482","1","NA","NA"
"72",1,1,72,50,"NA","NA","NA",24.7333333333333,1,"kühlschrank","Küche","Möbel","609","1","NA","NA"
"73",1,1,73,50,"NA","NA","NA",24.7333333333333,1,"baby","Filler","Filler","567","1","NA","NA"
"74",1,1,74,50,"NA","NA","NA",24.7333333333333,1,"schere","Büro","Werkzeug","597","1","NA","NA"
"75",1,1,75,50,"NA","NA","NA",24.7333333333333,1,"kaffeemaschine","Küche","Möbel","489","1","NA","NA"
"76",1,1,76,50,"NA","NA","NA",24.7333333333333,1,"gondel","Wasser","Fortbewegungsmittel","1010","1","NA","NA"
"77",1,1,77,50,"NA","NA","NA",24.7333333333333,1,"briefmarke","Filler","Filler","753","1","NA","NA"
"78",1,1,78,50,"NA","NA","NA",24.7333333333333,1,"herd","Küche","Möbel","1043","1","NA","NA"
"79",1,1,79,50,"NA","NA","NA",24.7333333333333,1,"yacht","Wasser","Fortbewegungsmittel","1923","1","NA","NA"
"80",1,1,80,50,"NA","NA","NA",24.7333333333333,1,"klammer","Büro","Werkzeug","611","1","NA","NA"
"81",1,1,81,50,"NA","NA","NA",24.7333333333333,1,"becher","Trinkgefässe","Misc II","1246","1","NA","NA"
"82",1,1,82,50,"NA","NA","NA",24.7333333333333,1,"ameise","Insekten","Tiere","527","1","NA","NA"
"83",1,1,83,50,"NA","NA","NA",24.7333333333333,1,"tafel","Filler","Filler","1096","1","NA","NA"
"84",1,1,84,50,"NA","NA","NA",24.7333333333333,1,"apfel","Obst","Lebensmittel","0","0","NR","4"
"85",1,1,85,50,"NA","NA","NA",24.7333333333333,1,"fliege","Insekten","Tiere","626","1","NA","NA"
"86",1,1,86,50,"NA","NA","NA",24.7333333333333,1,"teppich","Filler","Filler","641","1","NA","NA"
"87",1,1,87,50,"NA","NA","NA",24.7333333333333,1,"birne","Obst","Lebensmittel","410","1","NA","NA"
"88",1,1,88,50,"NA","NA","NA",24.7333333333333,1,"tasse","Trinkgefässe","Misc II","880","1","NA","NA"
"89",1,1,89,50,"NA","NA","NA",24.7333333333333,1,"spinne","Insekten","Tiere","485","1","NA","NA"
"90",1,1,90,50,"NA","NA","NA",24.7333333333333,1,"trauben","Obst","Lebensmittel","1389","1.1","Weintrauben","NA"
"91",1,1,91,50,"NA","NA","NA",24.7333333333333,1,"kopfhörer","Filler","Filler","584","1","NA","NA"
"92",1,1,92,50,"NA","NA","NA",24.7333333333333,1,"luftballon","Filler","Filler","653","1","NA","NA"
"93",1,1,93,50,"NA","NA","NA",24.7333333333333,1,"marienkäfer","Insekten","Tiere","421","1","NA","NA"
"94",1,1,94,50,"NA","NA","NA",24.7333333333333,1,"kanne","Trinkgefässe","Misc II","1748","1.1","Teekanne","NA"
"95",1,1,95,50,"NA","NA","NA",24.7333333333333,1,"banane","Obst","Lebensmittel","422","1","NA","NA"
"96",1,1,96,50,"NA","NA","NA",24.7333333333333,1,"fächer","Filler","Filler","412","1","NA","NA"
"97",1,1,97,50,"NA","NA","NA",24.7333333333333,1,"flasche","Trinkgefässe","Misc II","800","1","NA","NA"
"98",1,1,98,50,"NA","NA","NA",24.7333333333333,1,"kirsche","Obst","Lebensmittel","415","0","Irsche [f.r.]","99"
"99",1,1,99,50,"NA","NA","NA",24.7333333333333,1,"biene","Insekten","Tiere","417","1","NA","NA"
"100",1,1,100,50,"NA","NA","NA",24.7333333333333,1,"glas","Trinkgefässe","Misc II","405","1","NA","NA"
"101",1,1,101,50,"NA","NA","NA",24.7333333333333,1,"schokolade","Süssigkeiten","Lebensmittel","409","1","NA","NA"
"102",1,1,102,50,"NA","NA","NA",24.7333333333333,1,"feile","Heimwerker","Werkzeug","647","1","NA","NA"
"103",1,1,103,50,"NA","NA","NA",24.7333333333333,1,"ohr","Körperteile","Misc I","473","1","NA","NA"
"104",1,1,104,50,"NA","NA","NA",24.7333333333333,1,"kekse","Süssigkeiten","Lebensmittel","708","1","NA","NA"
"105",1,1,105,50,"NA","NA","NA",24.7333333333333,1,"zange","Heimwerker","Werkzeug","631","1","NA","NA"
"106",1,1,106,50,"NA","NA","NA",24.7333333333333,1,"arm","Körperteile","Misc I","964","1","NA","NA"
"107",1,1,107,50,"NA","NA","NA",24.7333333333333,1,"bonbon","Süssigkeiten","Lebensmittel","532","1","NA","NA"
"108",1,1,108,50,"NA","NA","NA",24.7333333333333,1,"hammer","Heimwerker","Werkzeug","662","1","NA","NA"
"109",1,1,109,50,"NA","NA","NA",24.7333333333333,1,"lippenstift","Filler","Filler","515","1","NA","NA"
"110",1,1,110,50,"NA","NA","NA",24.7333333333333,1,"bein","Körperteile","Misc I","1743","1","NA","NA"
"111",1,1,111,50,"NA","NA","NA",24.7333333333333,1,"bohrmaschine","Heimwerker","Werkzeug","1142","1","NA","NA"
"112",1,1,112,50,"NA","NA","NA",24.7333333333333,1,"schlüssel","Filler","Filler","554","1","NA","NA"
"113",1,1,113,50,"NA","NA","NA",24.7333333333333,1,"hand","Körperteile","Misc I","413","1","NA","NA"
"114",1,1,114,50,"NA","NA","NA",24.7333333333333,1,"schraubenzieher","Heimwerker","Werkzeug","797","1.1","Schraubenschluessel","NA"
"115",1,1,115,50,"NA","NA","NA",24.7333333333333,1,"kuchen","Süssigkeiten","Lebensmittel","509","1.1","Torte","NA"
"116",1,1,116,50,"NA","NA","NA",24.7333333333333,1,"briefkasten","Filler","Filler","635","1","NA","NA"
"117",1,1,117,50,"NA","NA","NA",24.7333333333333,1,"cd","Filler","Filler","527","1","NA","NA"
"118",1,1,118,50,"NA","NA","NA",24.7333333333333,1,"eis","Süssigkeiten","Lebensmittel","444","1","NA","NA"
"119",1,1,119,50,"NA","NA","NA",24.7333333333333,1,"fuss","Körperteile","Misc I","563","1","NA","NA"
"120",1,1,120,50,"NA","NA","NA",24.7333333333333,1,"fenster","Filler","Filler","1037","1","NA","NA"
"121",1,1,121,50,"NA","NA","NA",24.7333333333333,1,"couch","Sitzen","Möbel","674","1","NA","NA"
"122",1,1,122,50,"NA","NA","NA",24.7333333333333,1,"eule","Vögel","Tiere","1224","1","NA","NA"
"123",1,1,123,50,"NA","NA","NA",24.7333333333333,1,"kopfkissen","Filler","Filler","574","1","NA","NA"
"124",1,1,124,50,"NA","NA","NA",24.7333333333333,1,"stuhl","Sitzen","Möbel","413","0","tuhl [f.r.]","99"
"125",1,1,125,50,"NA","NA","NA",24.7333333333333,1,"schwan","Vögel","Tiere","412","1","NA","NA"
"126",1,1,126,50,"NA","NA","NA",24.7333333333333,1,"hochhaus","Gebäude","Misc II","485","1","NA","NA"
"127",1,1,127,50,"NA","NA","NA",24.7333333333333,1,"badewanne","Filler","Filler","624","1","NA","NA"
"128",1,1,128,50,"NA","NA","NA",24.7333333333333,1,"strauss","Vögel","Tiere","559","1","NA","NA"
